rl_method,clust_method,n_clusters,labels
Raw data,K-Means,2,[0 0 0 ... 1 1 1]
Raw data,K-Means,3,[1 1 1 ... 0 0 0]
Raw data,K-Means,4,[2 2 2 ... 3 3 3]
Raw data,K-Means,6,[1 2 2 ... 3 3 5]
Raw data,K-Means,7,[0 6 6 ... 3 3 3]
Raw data,GMM,2,[1 1 1 ... 0 1 0]
Raw data,GMM,3,[2 2 2 ... 0 2 2]
Raw data,GMM,4,[3 3 3 ... 2 0 3]
Raw data,GMM,6,[2 2 2 ... 3 5 4]
Raw data,GMM,7,[0 0 0 ... 4 1 5]
Raw data,Agglo.,2,[0 0 0 ... 0 0 0]
Raw data,Agglo.,3,[0 1 0 ... 1 1 1]
Raw data,Agglo.,4,[0 1 0 ... 1 1 1]
Raw data,Agglo.,6,[0 1 0 ... 1 2 4]
Raw data,Agglo.,7,[0 1 0 ... 1 2 4]
PCA,K-Means,2,[1 1 1 ... 0 0 0]
PCA,K-Means,3,[1 1 1 ... 2 2 2]
PCA,K-Means,4,[2 2 2 ... 3 3 3]
PCA,K-Means,6,[5 0 0 ... 1 4 4]
PCA,K-Means,7,[3 4 4 ... 1 1 2]
PCA,GMM,2,[1 1 0 ... 1 1 0]
PCA,GMM,3,[2 2 0 ... 2 2 0]
PCA,GMM,4,[1 1 1 ... 1 0 2]
PCA,GMM,6,[4 4 3 ... 4 5 0]
PCA,GMM,7,[4 4 4 ... 4 5 6]
PCA,Agglo.,2,[0 0 0 ... 0 0 0]
PCA,Agglo.,3,[0 0 0 ... 0 1 1]
PCA,Agglo.,4,[0 0 0 ... 0 1 1]
PCA,Agglo.,6,[0 0 0 ... 0 1 5]
PCA,Agglo.,7,[0 0 0 ... 0 1 6]
