rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
Raw data,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.028406989937676666
Raw data,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.028406989937676666
Raw data,K-Means,3,education,0.5130208333333334,0.0,0.0,0.027171347747709025
Raw data,K-Means,3,native,0.8376736111111112,0.0,0.0,0.027171347747709025
Raw data,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.027171347747709025
Raw data,K-Means,4,birth_weight,0.2890625,0.0044941755579181696,0.00449341938075985,0.02511863872896951
Raw data,K-Means,4,iq,0.3098958333333333,0.003633121976705178,0.003384936165775886,0.02511863872896951
Raw data,K-Means,4,behaviour,0.2907986111111111,0.006437548239196849,0.010085824100935692,0.02511863872896951
Raw data,K-Means,6,cohort,0.22569444444444445,0.004525065818511338,0.004282235722868972,0.018326804774804084
Raw data,K-Means,7,age,0.3255208333333333,0.005656429737425591,0.0040074498095075154,0.016334570982045982
Raw data,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.009155140663606339
Raw data,GMM,2,sex,0.5303819444444444,0.0,0.0,0.009155140663606339
Raw data,GMM,3,education,0.5130208333333334,0.0,0.0,0.006098400098004247
Raw data,GMM,3,native,0.8376736111111112,0.0,0.0,0.006098400098004247
Raw data,GMM,3,parity,0.4548611111111111,0.0,0.0,0.006098400098004247
Raw data,GMM,4,birth_weight,0.3133680555555556,0.011467954864375006,0.011739788562980264,-0.005529866326248473
Raw data,GMM,4,iq,0.3220486111111111,0.012607582547970729,0.020718464506853728,-0.005529866326248473
Raw data,GMM,4,behaviour,0.3072916666666667,0.014793204062979633,0.014426927804976262,-0.005529866326248473
Raw data,GMM,6,cohort,0.2821180555555556,0.07061568778900279,0.09302766368794903,0.0018626550230201985
Raw data,GMM,7,age,0.4027777777777778,0.10532993502009583,0.10674001144503276,-0.007807153788946923
Raw data,Agglo.,2,asthma,0.8932291666666666,0.0,0.0,0.04070951794326963
Raw data,Agglo.,2,sex,0.5381944444444444,0.003927541048756482,0.0013503862238086223,0.04070951794326963
Raw data,Agglo.,3,education,0.5130208333333334,0.0,0.0,0.016385027943158496
Raw data,Agglo.,3,native,0.8376736111111112,0.0,0.0,0.016385027943158496
Raw data,Agglo.,3,parity,0.4548611111111111,0.0,0.0,0.016385027943158496
Raw data,Agglo.,4,birth_weight,0.2769097222222222,0.001383699222813616,0.002264238524599376,0.012524678838007161
Raw data,Agglo.,4,iq,0.3125,0.0016924055272308457,0.0036881213052674853,0.012524678838007161
Raw data,Agglo.,4,behaviour,0.2751736111111111,0.0006661014729335076,0.0019580491841990617,0.012524678838007161
Raw data,Agglo.,6,cohort,0.21961805555555555,0.004439247913687982,0.004418128021425002,0.005572885540103374
