rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
DEC,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.81284773
DEC,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.81284773
DEC,K-Means,3,education,0.5130208333333334,0.0,0.0,0.6664784
DEC,K-Means,3,native,0.8376736111111112,0.0,0.0,0.6664784
DEC,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.6664784
DEC,K-Means,4,birth_weight,0.2821180555555556,0.0013515677963314276,0.0019579139067550564,0.5696639
DEC,K-Means,4,iq,0.3064236111111111,0.003978208910108797,0.0016134595690487391,0.5696639
DEC,K-Means,4,behaviour,0.2829861111111111,1.0271565096595174e-05,0.00012279886446672704,0.5696639
DEC,K-Means,4,bmi,0.6944444444444444,0.0,0.0,0.5696639
DEC,K-Means,6,cohort,0.2144097222222222,0.0016219391368184994,0.0025067584092081257,0.5841569
DEC,K-Means,7,age,0.3185763888888889,0.0,0.0,0.5895409
VaDE,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.41970533
VaDE,GMM,2,sex,0.5303819444444444,0.0,0.0,0.41970533
VaDE,GMM,3,education,0.5130208333333334,0.0,0.0,0.27301058
VaDE,GMM,3,native,0.8376736111111112,0.0,0.0,0.27301058
VaDE,GMM,3,parity,0.4548611111111111,0.0,0.0,0.27301058
VaDE,GMM,4,birth_weight,0.2829861111111111,0.002465867474798386,0.0036646606020435657,0.19731317
VaDE,GMM,4,iq,0.3038194444444444,0.0061653178245758625,0.004403349411458613,0.19731317
VaDE,GMM,4,behaviour,0.2734375,0.00012120223437015596,2.466672020200887e-05,0.19731317
VaDE,GMM,4,bmi,0.6944444444444444,0.0,0.0,0.19731317
VaDE,GMM,6,cohort,0.2170138888888889,0.0018664455872822929,0.0022627250074100684,0.081110954
VaDE,GMM,7,age,0.3194444444444444,0.00010684896533340531,-2.1180709298301063e-06,0.38851407
