rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
Raw data,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.09544536944131402
Raw data,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.09544536944131402
Raw data,K-Means,3,education,0.5260416666666666,0.051331394344402065,0.019407660606616587,0.09249195808365653
Raw data,K-Means,3,native,0.8376736111111112,0.0,0.0,0.09249195808365653
Raw data,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.09249195808365653
Raw data,K-Means,4,birth_weight,0.328125,0.017786245710906038,0.02610195095896347,0.10639411226696227
Raw data,K-Means,4,iq,0.4296875,0.09915614030045852,0.1433592606891967,0.10639411226696227
Raw data,K-Means,4,behaviour,0.3402777777777778,0.024915935073090457,0.05113403556913275,0.10639411226696227
Raw data,K-Means,6,cohort,0.9904513888888888,0.977589546288317,0.9713979580027907,0.1214260282401323
Raw data,K-Means,7,age,0.5850694444444444,0.47476288243562215,0.5742075285672117,0.10721057250276546
Raw data,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.0676398226728057
Raw data,GMM,2,sex,0.5303819444444444,0.0,0.0,0.0676398226728057
Raw data,GMM,3,education,0.5260416666666666,0.051748485910655444,0.019747369768297645,0.09121722013878657
Raw data,GMM,3,native,0.8376736111111112,0.0,0.0,0.09121722013878657
Raw data,GMM,3,parity,0.4548611111111111,0.0,0.0,0.09121722013878657
Raw data,GMM,4,birth_weight,0.3255208333333333,0.017295268069371008,0.025537559389220255,0.10532763229909833
Raw data,GMM,4,iq,0.4696180555555556,0.202092529176714,0.26033694570187627,0.10532763229909833
Raw data,GMM,4,behaviour,0.3107638888888889,0.01148128245516674,0.018112624116216045,0.10532763229909833
Raw data,GMM,6,cohort,0.9644097222222222,0.9280275343856624,0.9377254319315033,0.11619304855617936
Raw data,GMM,7,age,0.5876736111111112,0.48140364073765246,0.5918195995793747,0.103891706256091
Raw data,Agglo.,2,asthma,0.8932291666666666,0.0,0.0,0.09471434348051967
Raw data,Agglo.,2,sex,0.5303819444444444,0.0,0.0,0.09471434348051967
Raw data,Agglo.,3,education,0.5581597222222222,0.06360445434352259,0.0331434146736888,0.10174707905107172
Raw data,Agglo.,3,native,0.8376736111111112,0.0,0.0,0.10174707905107172
Raw data,Agglo.,3,parity,0.4730902777777778,0.008283314769099347,0.005762409560300275,0.10174707905107172
Raw data,Agglo.,4,birth_weight,0.328125,0.018174634028677295,0.026678967652562894,0.10595237336258853
Raw data,Agglo.,4,iq,0.4296875,0.09717047617610607,0.14112987169560895,0.10595237336258853
Raw data,Agglo.,4,behaviour,0.3402777777777778,0.02459079565836569,0.05088774960025359,0.10595237336258853
Raw data,Agglo.,6,cohort,0.9913194444444444,0.9799336881985712,0.9715690571460637,0.12054037260089188
Raw data,Agglo.,7,age,0.5859375,0.47781716229829957,0.5817460276020722,0.10496411445866966
PCA,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.11610140550975842
PCA,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.11610140550975842
PCA,K-Means,3,education,0.5251736111111112,0.05092370372345065,0.019159424856686313,0.11673181666907688
PCA,K-Means,3,native,0.8376736111111112,0.0,0.0,0.11673181666907688
PCA,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.11673181666907688
PCA,K-Means,4,birth_weight,0.328125,0.017786245710906038,0.02610195095896347,0.13614209250197565
PCA,K-Means,4,iq,0.4296875,0.09823001854013803,0.14251825606804047,0.13614209250197565
PCA,K-Means,4,behaviour,0.3394097222222222,0.024508914484316916,0.050920038686361496,0.13614209250197565
PCA,K-Means,6,cohort,0.9904513888888888,0.977589546288317,0.9713979580027907,0.15737273760552276
PCA,K-Means,7,age,0.5842013888888888,0.46974842204052036,0.5667904529603995,0.140720019360721
PCA,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.0940165058008892
PCA,GMM,2,sex,0.5355902777777778,0.002911508858934044,0.0007052965536650032,0.0940165058008892
PCA,GMM,3,education,0.5243055555555556,0.045414533632669965,0.016130103967675693,0.11093925514431041
PCA,GMM,3,native,0.8376736111111112,0.0,0.0,0.11093925514431041
PCA,GMM,3,parity,0.4548611111111111,0.0,0.0,0.11093925514431041
PCA,GMM,4,birth_weight,0.3463541666666667,0.03317176304499101,0.03884179011265393,0.1212834084582759
PCA,GMM,4,iq,0.4340277777777778,0.0700398629821743,0.14299768007991076,0.1212834084582759
PCA,GMM,4,behaviour,0.34375,0.026627623446199726,0.04683466650669508,0.1212834084582759
PCA,GMM,6,cohort,0.9869791666666666,0.970120596499299,0.9608315581457558,0.1570934606488019
PCA,GMM,7,age,0.5842013888888888,0.4741295076941449,0.564716947840622,0.13318178862370716
PCA,Agglo.,2,asthma,0.8932291666666666,0.0,0.0,0.11557309702402487
PCA,Agglo.,2,sex,0.5303819444444444,0.0,0.0,0.11557309702402487
PCA,Agglo.,3,education,0.5590277777777778,0.06342722071407865,0.03345777167881192,0.12577359091886675
PCA,Agglo.,3,native,0.8376736111111112,0.0,0.0,0.12577359091886675
PCA,Agglo.,3,parity,0.4730902777777778,0.008283314769099347,0.005762409560300275,0.12577359091886675
PCA,Agglo.,4,birth_weight,0.3272569444444444,0.017874745039115753,0.02654095259062065,0.13496046515529178
PCA,Agglo.,4,iq,0.4305555555555556,0.095822140958421,0.14010836912554153,0.13496046515529178
PCA,Agglo.,4,behaviour,0.3402777777777778,0.024736868173733613,0.0513316651679014,0.13496046515529178
PCA,Agglo.,6,cohort,0.9869791666666666,0.9701067721609712,0.9598851626663679,0.15593347341401642
PCA,Agglo.,7,age,0.5842013888888888,0.47490277374939416,0.5766860083915052,0.1370219866645462
