rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
DEC,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.8490035
DEC,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.8490035
DEC,K-Means,3,education,0.5243055555555556,0.05187666990507676,0.019787703485526054,0.91472954
DEC,K-Means,3,native,0.8376736111111112,0.0,0.0,0.91472954
DEC,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.91472954
DEC,K-Means,4,birth_weight,0.3394097222222222,0.025791921601835098,0.029498318262557614,0.76925194
DEC,K-Means,4,iq,0.4348958333333333,0.129440347512112,0.187868186349316,0.76925194
DEC,K-Means,4,behaviour,0.3315972222222222,0.01830900122301864,0.023647995645836084,0.76925194
DEC,K-Means,4,bmi,0.6944444444444444,0.0,0.0,0.76925194
DEC,K-Means,6,cohort,0.9852430555555556,0.966710396382258,0.9599129620275849,0.7304769
DEC,K-Means,7,age,0.5633680555555556,0.4244867456539112,0.4845315351611176,0.70040697
VaDE,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.5042508
VaDE,GMM,2,sex,0.5303819444444444,0.0,0.0,0.5042508
VaDE,GMM,3,education,0.5130208333333334,0.0,0.0,0.4979504
VaDE,GMM,3,native,0.8376736111111112,0.0,0.0,0.4979504
VaDE,GMM,3,parity,0.4548611111111111,0.0,0.0,0.4979504
VaDE,GMM,4,birth_weight,0.3480902777777778,0.033236106971242546,0.0391950139862514,0.5129792
VaDE,GMM,4,iq,0.4340277777777778,0.06815527871460864,0.14153026426620438,0.5129792
VaDE,GMM,4,behaviour,0.3402777777777778,0.024666315395278866,0.04434363344152512,0.5129792
VaDE,GMM,4,bmi,0.6944444444444444,0.0,0.0,0.5129792
VaDE,GMM,6,cohort,0.9782986111111112,0.9513218638833005,0.9395271941153531,0.5957284
VaDE,GMM,7,age,0.5928819444444444,0.45893309552746736,0.5326918701554273,0.516698
