rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
Raw data,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.11793828765771346
Raw data,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.11793828765771346
Raw data,K-Means,3,education,0.5130208333333334,0.0,0.0,0.06655888393813829
Raw data,K-Means,3,native,0.8376736111111112,0.0,0.0,0.06655888393813829
Raw data,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.06655888393813829
Raw data,K-Means,4,birth_weight,0.2760416666666667,-0.00038022262921110633,-0.00025081568395719843,0.06337305956857722
Raw data,K-Means,4,iq,0.2916666666666667,-0.00013888094313515927,0.0002160551017685419,0.06337305956857722
Raw data,K-Means,4,behaviour,0.2682291666666667,-0.0009781756050497034,-0.0012047240380316027,0.06337305956857722
Raw data,K-Means,6,cohort,0.21180555555555555,0.0032614144457117295,0.0023960142418019384,0.05053469706995176
Raw data,K-Means,7,age,0.3185763888888889,0.0,0.0,0.04641383274754917
Raw data,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.11679528931771406
Raw data,GMM,2,sex,0.5303819444444444,0.0,0.0,0.11679528931771406
Raw data,GMM,3,education,0.5130208333333334,0.0,0.0,0.06358636111648872
Raw data,GMM,3,native,0.8376736111111112,0.0,0.0,0.06358636111648872
Raw data,GMM,3,parity,0.4548611111111111,0.0,0.0,0.06358636111648872
Raw data,GMM,4,birth_weight,0.2777777777777778,0.0013464969862487155,0.0010788356165228336,0.05625967694478568
Raw data,GMM,4,iq,0.2899305555555556,-0.0010009210988233305,-0.0009856419641320316,0.05625967694478568
Raw data,GMM,4,behaviour,0.2638888888888889,-0.0011202443670175846,-0.0013743669440466695,0.05625967694478568
Raw data,GMM,6,cohort,0.2065972222222222,0.0008094277689083514,0.0003459800981810981,0.04200100937900272
Raw data,GMM,7,age,0.3185763888888889,0.0,0.0,0.03708162281839259
Raw data,Agglo.,2,asthma,0.8932291666666666,0.0,0.0,0.10178569881429514
Raw data,Agglo.,2,sex,0.5303819444444444,0.0,0.0,0.10178569881429514
Raw data,Agglo.,3,education,0.5130208333333334,0.0,0.0,0.05848671837228839
Raw data,Agglo.,3,native,0.8376736111111112,0.0,0.0,0.05848671837228839
Raw data,Agglo.,3,parity,0.4548611111111111,0.0,0.0,0.05848671837228839
Raw data,Agglo.,4,birth_weight,0.2708333333333333,-0.000874055706556438,-0.0013359014765921223,0.045826347811100863
Raw data,Agglo.,4,iq,0.2934027777777778,0.0010935695043194824,0.0007497409745439242,0.045826347811100863
Raw data,Agglo.,4,behaviour,0.2595486111111111,-0.0013230747759300564,-0.0016767527202993572,0.045826347811100863
Raw data,Agglo.,6,cohort,0.20833333333333334,0.0016268050648698988,0.0015255660086947933,0.024671184665786765
Raw data,Agglo.,7,age,0.3211805555555556,0.0034032170565328752,0.002081065118396123,0.021294631614545503
PCA,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.14473281198520946
PCA,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.14473281198520946
PCA,K-Means,3,education,0.5130208333333334,0.0,0.0,0.08443708066527922
PCA,K-Means,3,native,0.8376736111111112,0.0,0.0,0.08443708066527922
PCA,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.08443708066527922
PCA,K-Means,4,birth_weight,0.2743055555555556,0.00021137533962830744,0.0007093660542078416,0.0809908439727141
PCA,K-Means,4,iq,0.2907986111111111,-6.0964907445788265e-05,-0.000870441342066116,0.0809908439727141
PCA,K-Means,4,behaviour,0.2717013888888889,-0.0010099447230727209,-0.001133447119109211,0.0809908439727141
PCA,K-Means,6,cohort,0.21180555555555555,0.0008223080289835111,0.0011787619696598203,0.06764524285526757
PCA,K-Means,7,age,0.3185763888888889,0.0,0.0,0.0587938840689356
PCA,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.03225165456832324
PCA,GMM,2,sex,0.5303819444444444,0.0,0.0,0.03225165456832324
PCA,GMM,3,education,0.5130208333333334,0.0,0.0,0.025081211003330987
PCA,GMM,3,native,0.8376736111111112,0.0,0.0,0.025081211003330987
PCA,GMM,3,parity,0.4565972222222222,0.0018600373627372397,-0.0003986461428699048,0.025081211003330987
PCA,GMM,4,birth_weight,0.2760416666666667,0.0002986152441737978,0.00045630457517883304,0.02450382819905682
PCA,GMM,4,iq,0.2847222222222222,-0.0005165672980455298,-0.0008929935407343618,0.02450382819905682
PCA,GMM,4,behaviour,0.2595486111111111,-0.0008419598054909432,-0.0015612775170176928,0.02450382819905682
PCA,GMM,6,cohort,0.1996527777777778,-0.0012168195449976142,0.003146797959967926,-0.020024681793633616
PCA,GMM,7,age,0.3194444444444444,0.00037716374547759,-0.0017454496286435444,-0.0018382573916469033
PCA,Agglo.,2,asthma,0.8932291666666666,0.0,0.0,0.12190976303031552
PCA,Agglo.,2,sex,0.5303819444444444,0.0,0.0,0.12190976303031552
PCA,Agglo.,3,education,0.5130208333333334,0.0,0.0,0.06713331185106701
PCA,Agglo.,3,native,0.8376736111111112,0.0,0.0,0.06713331185106701
PCA,Agglo.,3,parity,0.4548611111111111,0.0,0.0,0.06713331185106701
PCA,Agglo.,4,birth_weight,0.2751736111111111,-0.00041343696244872417,-0.0007047459157725609,0.05560263593814049
PCA,Agglo.,4,iq,0.3020833333333333,0.001281189338917876,0.002675817593687049,0.05560263593814049
PCA,Agglo.,4,behaviour,0.2647569444444444,-0.0008815260238259239,-0.0010260736107391931,0.05560263593814049
PCA,Agglo.,6,cohort,0.21354166666666666,0.002366245026970268,0.003019781815112567,0.0405358730454394
PCA,Agglo.,7,age,0.3185763888888889,0.0,0.0,0.03977691999642082
