rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
DEC,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.6909823
DEC,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.6909823
DEC,K-Means,3,education,0.5130208333333334,0.0,0.0,0.42613328
DEC,K-Means,3,native,0.8376736111111112,0.0,0.0,0.42613328
DEC,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.42613328
DEC,K-Means,4,birth_weight,0.2682291666666667,-0.0006950754423258268,-0.000980143629228286,0.44380873
DEC,K-Means,4,iq,0.2994791666666667,0.0020138413846673177,0.0017097328254110193,0.44380873
DEC,K-Means,4,behaviour,0.2769097222222222,0.0023303024357579243,0.0022720140467919142,0.44380873
DEC,K-Means,4,bmi,0.6944444444444444,0.0,0.0,0.44380873
DEC,K-Means,6,cohort,0.20833333333333334,0.002834468172288967,0.0006055605985817256,0.6111731
DEC,K-Means,7,age,0.3185763888888889,0.0,0.0,0.31714424
VaDE,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.35482678
VaDE,GMM,2,sex,0.5303819444444444,0.0,0.0,0.35482678
VaDE,GMM,3,education,0.5130208333333334,0.0,0.0,0.24408515
VaDE,GMM,3,native,0.8376736111111112,0.0,0.0,0.24408515
VaDE,GMM,3,parity,0.4548611111111111,0.0,0.0,0.24408515
VaDE,GMM,4,birth_weight,0.2673611111111111,-0.0007565191587905779,-0.0005493002354529149,0.17685802
VaDE,GMM,4,iq,0.2960069444444444,0.0015580920173171682,-3.5765495973861496e-05,0.17685802
VaDE,GMM,4,behaviour,0.2708333333333333,-0.0008655699090308097,-0.0014629647955474252,0.17685802
VaDE,GMM,4,bmi,0.6944444444444444,0.0,0.0,0.17685802
VaDE,GMM,6,cohort,0.2013888888888889,-0.0004558318006544253,-0.0010505908429359753,0.1617577
VaDE,GMM,7,age,0.3237847222222222,0.005449383363884983,0.001322864907287958,0.11020497
