rl_method,clust_method,n_clusters,labels
DEC-conv1D,K-Means,2,[0 0 1 ... 0 1 1]
DEC-conv1D,K-Means,3,[1 1 2 ... 1 0 2]
DEC-conv1D,K-Means,4,[3 2 0 ... 2 0 0]
DEC-conv1D,K-Means,6,[2 2 0 ... 2 4 3]
DEC-conv1D,K-Means,7,[0 2 4 ... 2 1 1]
VaDE-conv1D,GMM,2,[1 0 1 ... 0 1 1]
VaDE-conv1D,GMM,3,[1 2 0 ... 2 1 0]
VaDE-conv1D,GMM,4,[0 0 0 ... 1 0 1]
VaDE-conv1D,GMM,6,[3 3 2 ... 1 0 0]
VaDE-conv1D,GMM,7,[4 0 3 ... 0 5 3]
DEC-conv2D,K-Means,2,[0 0 0 ... 0 0 0]
DEC-conv2D,K-Means,2,[1 1 0 ... 1 0 0]
DEC-conv2D,K-Means,3,[2 2 0 ... 2 1 0]
DEC-conv2D,K-Means,4,[1 1 0 ... 1 0 0]
DEC-conv2D,K-Means,6,[2 5 3 ... 5 1 1]
DEC-conv2D,K-Means,7,[3 3 6 ... 2 0 0]
