rl_method,clust_method,n_clusters,labels
DEC,K-Means,2,[1 1 0 ... 1 0 0]
DEC,K-Means,3,[0 0 2 ... 2 1 1]
DEC,K-Means,4,[0 0 3 ... 0 1 1]
DEC,K-Means,6,[1 1 5 ... 4 3 4]
DEC,K-Means,7,[6 6 0 ... 6 1 1]
VaDE,GMM,2,[0 0 0 ... 0 0 0]
VaDE,GMM,3,[2 2 0 ... 1 1 1]
VaDE,GMM,4,[0 0 2 ... 0 0 2]
VaDE,GMM,6,[1 4 3 ... 0 4 5]
VaDE,GMM,7,[0 0 4 ... 3 5 2]
DEC + DA,K-Means,2,[0 1 1 ... 1 1 1]
DEC + DA,K-Means,3,[0 0 1 ... 0 2 2]
DEC + DA,K-Means,4,[1 3 0 ... 3 0 0]
DEC + DA,K-Means,6,[0 2 3 ... 2 4 1]
DEC + DA,K-Means,7,[5 5 0 ... 4 5 6]
VaDE + DA,GMM,2,[1 1 0 ... 1 0 0]
VaDE + DA,GMM,3,[2 1 1 ... 1 1 1]
VaDE + DA,GMM,4,[1 1 3 ... 0 1 2]
VaDE + DA,GMM,6,[4 4 3 ... 1 0 0]
VaDE + DA,GMM,7,[1 4 3 ... 3 4 5]
