rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
Raw data,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.10307991016175078
Raw data,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.10307991016175078
Raw data,K-Means,3,education,0.5130208333333334,0.0,0.0,0.06553020377273332
Raw data,K-Means,3,native,0.8376736111111112,0.0,0.0,0.06553020377273332
Raw data,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.06553020377273332
Raw data,K-Means,4,birth_weight,0.2647569444444444,-0.001697881676045271,-0.0017745961668401253,0.06191857424620014
Raw data,K-Means,4,iq,0.2986111111111111,-0.0006502318394729944,9.858523302388039e-05,0.06191857424620014
Raw data,K-Means,4,behaviour,0.2664930555555556,0.00014905798380089334,0.00012308061046245911,0.06191857424620014
Raw data,K-Means,6,cohort,0.21354166666666666,0.0028457222977512596,0.0021269457329542323,0.04774467572473121
Raw data,K-Means,7,age,0.3185763888888889,0.0,0.0,0.04711869547919767
Raw data,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.10172791218561857
Raw data,GMM,2,sex,0.5303819444444444,0.0,0.0,0.10172791218561857
Raw data,GMM,3,education,0.5130208333333334,0.0,0.0,0.056639868786189936
Raw data,GMM,3,native,0.8376736111111112,0.0,0.0,0.056639868786189936
Raw data,GMM,3,parity,0.4548611111111111,0.0,0.0,0.056639868786189936
Raw data,GMM,4,birth_weight,0.2708333333333333,-0.00036625033805161403,-0.00037214147042256076,0.05735496241400901
Raw data,GMM,4,iq,0.2994791666666667,-0.0007575069501093083,0.001359614819388128,0.05735496241400901
Raw data,GMM,4,behaviour,0.2690972222222222,-0.0008460830280423133,-0.0008322434224574312,0.05735496241400901
Raw data,GMM,6,cohort,0.21875,0.0020730768364035923,0.0022332747063253185,0.04253334656004283
Raw data,GMM,7,age,0.3185763888888889,0.0,0.0,0.03810367607452619
Raw data,Agglo.,2,asthma,0.8932291666666666,0.0,0.0,0.09045543174176592
Raw data,Agglo.,2,sex,0.5303819444444444,0.0,0.0,0.09045543174176592
Raw data,Agglo.,3,education,0.5130208333333334,0.0,0.0,0.0546125407574808
Raw data,Agglo.,3,native,0.8376736111111112,0.0,0.0,0.0546125407574808
Raw data,Agglo.,3,parity,0.4626736111111111,0.003538826420888597,0.0018255707686922458,0.0546125407574808
Raw data,Agglo.,4,birth_weight,0.2725694444444444,-0.00011707518114164289,0.00040901691725993744,0.044611701546878685
Raw data,Agglo.,4,iq,0.3012152777777778,0.0039604389851113425,0.0027753091752311136,0.044611701546878685
Raw data,Agglo.,4,behaviour,0.2708333333333333,-0.0007680617411353766,-0.0007953596573026867,0.044611701546878685
Raw data,Agglo.,6,cohort,0.2065972222222222,0.0006841144114254404,0.0002193398048101275,0.024980581446363625
Raw data,Agglo.,7,age,0.3185763888888889,0.0,0.0,0.02268218744631632
PCA,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.12661917649616938
PCA,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.12661917649616938
PCA,K-Means,3,education,0.5130208333333334,0.0,0.0,0.083578729216105
PCA,K-Means,3,native,0.8376736111111112,0.0,0.0,0.083578729216105
PCA,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.083578729216105
PCA,K-Means,4,birth_weight,0.2682291666666667,-0.001418707797511837,-0.0014812356933784512,0.07937422554274853
PCA,K-Means,4,iq,0.2925347222222222,-0.00011118352282308095,-0.00013470237278337654,0.07937422554274853
PCA,K-Means,4,behaviour,0.2647569444444444,-0.0009788299826266303,-0.0010528845004857308,0.07937422554274853
PCA,K-Means,6,cohort,0.2170138888888889,0.003135153234884011,0.002207950848435579,0.0625330366155237
PCA,K-Means,7,age,0.3185763888888889,0.0,0.0,0.0605477674033037
PCA,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.02427047131539337
PCA,GMM,2,sex,0.5303819444444444,0.0,0.0,0.02427047131539337
PCA,GMM,3,education,0.5130208333333334,0.0,0.0,0.017750182607805663
PCA,GMM,3,native,0.8376736111111112,0.0,0.0,0.017750182607805663
PCA,GMM,3,parity,0.4548611111111111,0.0,0.0,0.017750182607805663
PCA,GMM,4,birth_weight,0.2734375,0.00017152434879809115,0.0010432311278001762,0.015135835615038581
PCA,GMM,4,iq,0.2916666666666667,-0.0009610270123284951,-0.0011575578930065446,0.015135835615038581
PCA,GMM,4,behaviour,0.2743055555555556,0.001396572679816739,0.002471467118711277,0.015135835615038581
PCA,GMM,6,cohort,0.21006944444444445,0.0020526708141558204,-0.0011002773534540176,0.0013925835786281768
PCA,GMM,7,age,0.3194444444444444,9.916736223404916e-05,-1.161584096930725e-05,-0.003570503669172264
PCA,Agglo.,2,asthma,0.8932291666666666,0.0,0.0,0.11044537989346877
PCA,Agglo.,2,sex,0.5303819444444444,0.0,0.0,0.11044537989346877
PCA,Agglo.,3,education,0.5130208333333334,0.0,0.0,0.06486540210561521
PCA,Agglo.,3,native,0.8376736111111112,0.0,0.0,0.06486540210561521
PCA,Agglo.,3,parity,0.4548611111111111,0.0,0.0,0.06486540210561521
PCA,Agglo.,4,birth_weight,0.2708333333333333,0.0002986204593060737,-9.252667637390734e-05,0.049398631187454564
PCA,Agglo.,4,iq,0.2942708333333333,0.0010111138973728578,-3.573892201703312e-05,0.049398631187454564
PCA,Agglo.,4,behaviour,0.2664930555555556,-0.0013633337062141648,-0.0013322926333264751,0.049398631187454564
PCA,Agglo.,6,cohort,0.19791666666666666,0.0008387271711664519,0.0018796256195846397,0.03435950648211498
