rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
Raw data,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.08309963091817399
Raw data,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.08309963091817399
Raw data,K-Means,3,education,0.5130208333333334,0.0,0.0,0.08300219512656892
Raw data,K-Means,3,native,0.8376736111111112,0.0,0.0,0.08300219512656892
Raw data,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.08300219512656892
Raw data,K-Means,4,birth_weight,0.2638888888888889,-0.001133167963113418,-0.0013324939417225035,0.07153371349378705
Raw data,K-Means,4,iq,0.3029513888888889,0.0019266082585095714,0.0035605643844825417,0.07153371349378705
Raw data,K-Means,4,behaviour,0.2864583333333333,0.0009533130167292864,0.0013604264836830522,0.07153371349378705
Raw data,K-Means,6,cohort,0.2065972222222222,0.0014592176711023508,0.0024141791250818006,0.06134796535032759
Raw data,K-Means,7,age,0.3185763888888889,0.0,0.0,0.058562577227390084
Raw data,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.06453236418070252
Raw data,GMM,2,sex,0.5303819444444444,0.0,0.0,0.06453236418070252
Raw data,GMM,3,education,0.5130208333333334,0.0,0.0,0.04835357822472698
Raw data,GMM,3,native,0.8376736111111112,0.0,0.0,0.04835357822472698
Raw data,GMM,3,parity,0.4548611111111111,0.0,0.0,0.04835357822472698
Raw data,GMM,4,birth_weight,0.2751736111111111,8.757853818820973e-05,0.00013577840028910162,0.0378579629981405
Raw data,GMM,4,iq,0.2960069444444444,0.00044577595689737653,-8.307426541855622e-05,0.0378579629981405
Raw data,GMM,4,behaviour,0.2760416666666667,-0.0009499188084275867,-0.001094953989491328,0.0378579629981405
Raw data,GMM,6,cohort,0.2065972222222222,0.001458015521610384,0.001555143997659094,0.03135021458320882
Raw data,GMM,7,age,0.3203125,0.0035703149443528327,0.0014441886430506638,0.03556506840633343
Raw data,Agglo.,2,asthma,0.8932291666666666,0.0,0.0,0.10173414729307079
Raw data,Agglo.,2,sex,0.5303819444444444,0.0,0.0,0.10173414729307079
Raw data,Agglo.,3,education,0.5130208333333334,0.0,0.0,0.05552667677732905
Raw data,Agglo.,3,native,0.8376736111111112,0.0,0.0,0.05552667677732905
Raw data,Agglo.,3,parity,0.4548611111111111,0.0,0.0,0.05552667677732905
Raw data,Agglo.,4,birth_weight,0.2638888888888889,-0.0009621672904368049,-0.0007603324014563695,0.047536505536752274
Raw data,Agglo.,4,iq,0.3029513888888889,0.0011424304327099836,0.0016720529422754803,0.047536505536752274
Raw data,Agglo.,4,behaviour,0.2777777777777778,-0.0001961010986107942,-0.00012328936914448153,0.047536505536752274
Raw data,Agglo.,6,cohort,0.19618055555555555,-0.0008801882695845463,-0.0016014432822416748,0.033327322728595114
Raw data,Agglo.,7,age,0.3185763888888889,0.0,0.0,0.034404124542271486
PCA,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.09155222836087487
PCA,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.09155222836087487
PCA,K-Means,3,education,0.5130208333333334,0.0,0.0,0.09210061393153894
PCA,K-Means,3,native,0.8376736111111112,0.0,0.0,0.09210061393153894
PCA,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.09210061393153894
PCA,K-Means,4,birth_weight,0.265625,-0.0009327818094195114,-0.0011018778089733165,0.08167677750929778
PCA,K-Means,4,iq,0.3012152777777778,0.0012369992047970224,0.002449895688210491,0.08167677750929778
PCA,K-Means,4,behaviour,0.2864583333333333,0.00104493995958615,0.0015095392615251738,0.08167677750929778
PCA,K-Means,6,cohort,0.2074652777777778,-0.0002128016235600432,0.0011130502031347544,0.06840042846321125
PCA,K-Means,7,age,0.3185763888888889,0.0,0.0,0.06657719937552982
PCA,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.057137790476501804
PCA,GMM,2,sex,0.5303819444444444,0.0,0.0,0.057137790476501804
PCA,GMM,3,education,0.5130208333333334,0.0,0.0,0.05345696977552166
PCA,GMM,3,native,0.8376736111111112,0.0,0.0,0.05345696977552166
PCA,GMM,3,parity,0.4548611111111111,0.0,0.0,0.05345696977552166
PCA,GMM,4,birth_weight,0.2708333333333333,-0.00015505074095025103,0.00044989643564872746,0.06281570784440871
PCA,GMM,4,iq,0.3046875,0.0005728244270513604,0.002596234006357738,0.06281570784440871
PCA,GMM,4,behaviour,0.2751736111111111,0.0003357714294823909,0.002213184093075934,0.06281570784440871
PCA,GMM,6,cohort,0.20399305555555555,0.0021973720828847086,0.001074736684611666,0.013833774353889144
PCA,GMM,7,age,0.3185763888888889,0.0,0.0,0.025853535062082135
PCA,Agglo.,2,asthma,0.8932291666666666,0.0,0.0,0.11246086482498649
PCA,Agglo.,2,sex,0.5303819444444444,0.0,0.0,0.11246086482498649
PCA,Agglo.,3,education,0.5130208333333334,0.0,0.0,0.07299275568473537
PCA,Agglo.,3,native,0.8376736111111112,0.0,0.0,0.07299275568473537
PCA,Agglo.,3,parity,0.4548611111111111,0.0,0.0,0.07299275568473537
PCA,Agglo.,4,birth_weight,0.265625,-0.001590226834643135,-0.0017600065206270481,0.05309345740399521
PCA,Agglo.,4,iq,0.3263888888888889,0.006481699725028448,0.006649921767305471,0.05309345740399521
PCA,Agglo.,4,behaviour,0.2751736111111111,0.0007431801050615199,0.0008003040308572299,0.05309345740399521
PCA,Agglo.,6,cohort,0.20572916666666666,0.0012687064378521487,-0.00015089237744543964,0.058878538632356064
PCA,Agglo.,7,age,0.3185763888888889,0.0,0.0,0.03623791996921691
