rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
DEC-conv1D,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.6375192
DEC-conv1D,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.6375192
DEC-conv1D,K-Means,3,education,0.5130208333333334,0.0,0.0,0.59455746
DEC-conv1D,K-Means,3,native,0.8376736111111112,0.0,0.0,0.59455746
DEC-conv1D,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.59455746
DEC-conv1D,K-Means,4,birth_weight,0.2534722222222222,1.4243656134063952e-05,-0.0004135332496767887,0.99772155
DEC-conv1D,K-Means,4,iq,0.2821180555555556,-0.00018769489719595118,0.0010745523036520203,0.99772155
DEC-conv1D,K-Means,4,behaviour,0.2517361111111111,0.0,0.0,0.99772155
DEC-conv1D,K-Means,4,bmi,0.6944444444444444,0.0,0.0,0.99772155
DEC-conv1D,K-Means,6,cohort,0.20225694444444445,0.00025308528354660325,-0.00014862564511265345,0.2789853
DEC-conv1D,K-Means,7,age,0.3185763888888889,0.0,0.0,0.22230554
VaDE-conv1D,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.37754324
VaDE-conv1D,GMM,2,sex,0.5303819444444444,0.0,0.0,0.37754324
VaDE-conv1D,GMM,3,education,0.5130208333333334,0.0,0.0,0.19767536
VaDE-conv1D,GMM,3,native,0.8376736111111112,0.0,0.0,0.19767536
VaDE-conv1D,GMM,3,parity,0.4583333333333333,0.0032535982241642396,0.0006555747254899696,0.19767536
VaDE-conv1D,GMM,4,birth_weight,0.2734375,9.336176374887853e-05,3.7332617672288365e-05,0.17914532
VaDE-conv1D,GMM,4,iq,0.3098958333333333,0.005589303820989749,0.0024600624745496086,0.17914532
VaDE-conv1D,GMM,4,behaviour,0.2708333333333333,-0.0006052652549539139,-0.000726443780687989,0.17914532
VaDE-conv1D,GMM,4,bmi,0.6944444444444444,0.0,0.0,0.17914532
VaDE-conv1D,GMM,6,cohort,0.21354166666666666,0.0031717240499791917,0.0022449135554988234,0.11881733
VaDE-conv1D,GMM,7,age,0.3185763888888889,0.0,0.0,0.09451847
DEC-conv2D,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.5998464
DEC-conv2D,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.5998464
DEC-conv2D,K-Means,3,education,0.5130208333333334,0.0,0.0,0.56463295
DEC-conv2D,K-Means,3,native,0.8376736111111112,0.0,0.0,0.56463295
DEC-conv2D,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.56463295
DEC-conv2D,K-Means,4,birth_weight,0.2725694444444444,-0.0010312164148416545,-0.0011198614817946742,0.3857039
DEC-conv2D,K-Means,4,iq,0.2951388888888889,0.0005000503564224057,0.0001409409336307235,0.3857039
DEC-conv2D,K-Means,4,behaviour,0.2725694444444444,-0.00040036947875301475,-0.0004533922433991357,0.3857039
DEC-conv2D,K-Means,4,bmi,0.6944444444444444,0.0,0.0,0.3857039
DEC-conv2D,K-Means,6,cohort,0.2013888888888889,-0.00036136817690540443,-0.0010016580757917675,0.3334982
DEC-conv2D,K-Means,7,age,0.3185763888888889,0.0,0.0,0.28857625
