rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
DEC,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.64288926
DEC,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.64288926
DEC,K-Means,3,education,0.5130208333333334,0.0,0.0,0.6384013
DEC,K-Means,3,native,0.8376736111111112,0.0,0.0,0.6384013
DEC,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.6384013
DEC,K-Means,4,birth_weight,0.2873263888888889,0.0023137194850796168,0.0023967648288243373,0.4533831
DEC,K-Means,4,iq,0.2986111111111111,0.004034894942925389,0.0008598807635631643,0.4533831
DEC,K-Means,4,behaviour,0.2769097222222222,0.0004152443156717823,0.0005085969461842716,0.4533831
DEC,K-Means,4,bmi,0.6944444444444444,0.0,0.0,0.4533831
DEC,K-Means,6,cohort,0.2065972222222222,0.001967141177387593,0.0014221023345633546,0.3879906
DEC,K-Means,7,age,0.3185763888888889,0.0,0.0,0.38590133
VaDE,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.28763035
VaDE,GMM,2,sex,0.5303819444444444,0.0,0.0,0.28763035
VaDE,GMM,3,education,0.5130208333333334,0.0,0.0,0.25226003
VaDE,GMM,3,native,0.8376736111111112,0.0,0.0,0.25226003
VaDE,GMM,3,parity,0.4548611111111111,0.0,0.0,0.25226003
VaDE,GMM,4,birth_weight,0.2786458333333333,0.0021317733737366462,0.0018283200124620802,0.11398331
VaDE,GMM,4,iq,0.3116319444444444,0.004878678104210751,0.0034179420113940964,0.11398331
VaDE,GMM,4,behaviour,0.2769097222222222,0.0005263725449430827,0.00033391296585527294,0.11398331
VaDE,GMM,4,bmi,0.6944444444444444,0.0,0.0,0.11398331
VaDE,GMM,6,cohort,0.22135416666666666,0.005589337842905467,0.004481335719968835,0.1370922
VaDE,GMM,7,age,0.3185763888888889,0.0,0.0,0.12257568
DEC + DA,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.95433235
DEC + DA,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.95433235
DEC + DA,K-Means,3,education,0.5130208333333334,0.0,0.0,0.8630453
DEC + DA,K-Means,3,native,0.8376736111111112,0.0,0.0,0.8630453
DEC + DA,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.8630453
DEC + DA,K-Means,4,birth_weight,0.2725694444444444,8.028623704762399e-05,-2.3693807973125883e-05,0.7931922
DEC + DA,K-Means,4,iq,0.2960069444444444,-0.0011795804701675706,0.00104434548675865,0.7931922
DEC + DA,K-Means,4,behaviour,0.2717013888888889,-0.0006582518428464236,-0.0007980460271484657,0.7931922
DEC + DA,K-Means,4,bmi,0.6944444444444444,0.0,0.0,0.7931922
DEC + DA,K-Means,6,cohort,0.21180555555555555,0.00012856906562552255,-0.0009102139962181251,0.7414189
DEC + DA,K-Means,7,age,0.3185763888888889,0.0,0.0,0.64775735
VaDE + DA,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.3247567
VaDE + DA,GMM,2,sex,0.5303819444444444,0.0,0.0,0.3247567
VaDE + DA,GMM,3,education,0.5130208333333334,0.0,0.0,0.19904754
VaDE + DA,GMM,3,native,0.8376736111111112,0.0,0.0,0.19904754
VaDE + DA,GMM,3,parity,0.4548611111111111,0.0,0.0,0.19904754
VaDE + DA,GMM,4,birth_weight,0.2760416666666667,0.0011076127747424345,0.001081824852555301,0.17117514
VaDE + DA,GMM,4,iq,0.2899305555555556,0.0009608461637810054,-0.00018419406070864776,0.17117514
VaDE + DA,GMM,4,behaviour,0.2751736111111111,0.0007122722740064029,0.00030655289205374356,0.17117514
VaDE + DA,GMM,4,bmi,0.6944444444444444,0.0,0.0,0.17117514
VaDE + DA,GMM,6,cohort,0.2092013888888889,0.0009052303370050288,0.0010851688492311857,0.10508615
VaDE + DA,GMM,7,age,0.3194444444444444,0.002795785787739614,0.0005590418806532775,0.07112584
