rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
DEC,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.6854868
DEC,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.6854868
DEC,K-Means,3,education,0.5130208333333334,0.0,0.0,0.53547287
DEC,K-Means,3,native,0.8376736111111112,0.0,0.0,0.53547287
DEC,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.53547287
DEC,K-Means,4,birth_weight,0.2734375,-0.0001688295860526305,-0.00033695911669885296,0.48038545
DEC,K-Means,4,iq,0.3090277777777778,0.0028734196501982385,0.0029712279795736456,0.48038545
DEC,K-Means,4,behaviour,0.2717013888888889,-0.0006561979133052577,-0.0007416090567922276,0.48038545
DEC,K-Means,4,bmi,0.6944444444444444,0.0,0.0,0.48038545
DEC,K-Means,6,cohort,0.20572916666666666,0.00037573932444258943,-0.0013099687307552032,0.40364534
DEC,K-Means,7,age,0.3203125,0.0006668568429983074,0.0011781591202683346,0.22066267
VaDE,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.30949804
VaDE,GMM,2,sex,0.5303819444444444,0.0,0.0,0.30949804
VaDE,GMM,3,education,0.5130208333333334,0.0,0.0,0.22126478
VaDE,GMM,3,native,0.8376736111111112,0.0,0.0,0.22126478
VaDE,GMM,3,parity,0.4548611111111111,0.0,0.0,0.22126478
VaDE,GMM,4,birth_weight,0.2751736111111111,0.0007657701991649978,0.0008713535558080497,0.12672442
VaDE,GMM,4,iq,0.2951388888888889,0.00033225704495358716,-0.00011492419742253816,0.12672442
VaDE,GMM,4,behaviour,0.2751736111111111,0.0003657776224743325,0.00024680548811319137,0.12672442
VaDE,GMM,4,bmi,0.6944444444444444,0.0,0.0,0.12672442
VaDE,GMM,6,cohort,0.2074652777777778,0.0004806640871440397,-0.000539908751136473,0.12565835
VaDE,GMM,7,age,0.3185763888888889,0.0,0.0,0.0013467217
DEC + DA,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.93084264
DEC + DA,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.93084264
DEC + DA,K-Means,3,education,0.5130208333333334,0.0,0.0,0.8673913
DEC + DA,K-Means,3,native,0.8376736111111112,0.0,0.0,0.8673913
DEC + DA,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.8673913
DEC + DA,K-Means,4,birth_weight,0.2760416666666667,0.0003356304098973632,0.00015265350335891208,0.7063693
DEC + DA,K-Means,4,iq,0.3012152777777778,0.0051352717217499795,0.0013424654308719578,0.7063693
DEC + DA,K-Means,4,behaviour,0.2717013888888889,0.00019090926565714292,0.0004398444689446599,0.7063693
DEC + DA,K-Means,4,bmi,0.6944444444444444,0.0,0.0,0.7063693
DEC + DA,K-Means,6,cohort,0.21180555555555555,0.0027892036637296967,0.0013634291974317604,0.6107188
DEC + DA,K-Means,7,age,0.3185763888888889,0.0,0.0,0.5657812
VaDE + DA,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.4787872
VaDE + DA,GMM,2,sex,0.5390625,0.003134317536348861,0.0018390764234203468,0.4787872
VaDE + DA,GMM,3,education,0.5130208333333334,0.0,0.0,0.32259926
VaDE + DA,GMM,3,native,0.8376736111111112,0.0,0.0,0.32259926
VaDE + DA,GMM,3,parity,0.4548611111111111,0.0,0.0,0.32259926
VaDE + DA,GMM,4,birth_weight,0.2734375,-0.00017824863976204512,-0.0002454375617530247,0.23906833
VaDE + DA,GMM,4,iq,0.2977430555555556,0.002697588777644393,0.0016980188963137475,0.23906833
VaDE + DA,GMM,4,behaviour,0.2769097222222222,9.757133019079397e-05,0.0003378476543765119,0.23906833
VaDE + DA,GMM,4,bmi,0.6944444444444444,0.0,0.0,0.23906833
VaDE + DA,GMM,6,cohort,0.2126736111111111,0.0013460143044934057,0.0003591164427485015,0.15191516
VaDE + DA,GMM,7,age,0.3185763888888889,0.0,0.0,0.04346749
