rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
Raw data,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.09707620109852313
Raw data,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.09707620109852313
Raw data,K-Means,3,education,0.5130208333333334,0.0,0.0,0.08212449270339964
Raw data,K-Means,3,native,0.8376736111111112,0.0,0.0,0.08212449270339964
Raw data,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.08212449270339964
Raw data,K-Means,4,birth_weight,0.2760416666666667,-0.00021037524536536144,-0.0003921038968430099,0.0730799375103821
Raw data,K-Means,4,iq,0.2934027777777778,-0.001097784110457309,-0.0007542312898983579,0.0730799375103821
Raw data,K-Means,4,behaviour,0.2803819444444444,-3.2374662780663657e-05,2.2901327046776318e-05,0.0730799375103821
Raw data,K-Means,6,cohort,0.21180555555555555,0.0005470925654039496,-0.0003891283671875134,0.06504428858466015
Raw data,K-Means,7,age,0.3185763888888889,0.0,0.0,0.06354166237314285
Raw data,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.09540291972290646
Raw data,GMM,2,sex,0.5303819444444444,0.0,0.0,0.09540291972290646
Raw data,GMM,3,education,0.5130208333333334,0.0,0.0,0.07939598096531673
Raw data,GMM,3,native,0.8376736111111112,0.0,0.0,0.07939598096531673
Raw data,GMM,3,parity,0.4548611111111111,0.0,0.0,0.07939598096531673
Raw data,GMM,4,birth_weight,0.2647569444444444,-0.0010872410243324736,-0.0014735621508551679,0.06144761733178856
Raw data,GMM,4,iq,0.3003472222222222,-0.0007636681447951052,0.0018135612975606287,0.06144761733178856
Raw data,GMM,4,behaviour,0.2717013888888889,-0.0011718717365744632,-0.0012305915188100351,0.06144761733178856
Raw data,GMM,6,cohort,0.20572916666666666,0.0008294834428767146,0.0008730539459209002,0.05616385014897109
Raw data,GMM,7,age,0.3185763888888889,0.0,0.0,0.05407295706497231
Raw data,Agglo.,2,asthma,0.8932291666666666,0.0,0.0,0.06027639604637198
Raw data,Agglo.,2,sex,0.5364583333333334,0.004025146373916206,0.0015265493314393168,0.06027639604637198
Raw data,Agglo.,3,education,0.5130208333333334,0.0,0.0,0.046710878691531926
Raw data,Agglo.,3,native,0.8376736111111112,0.0,0.0,0.046710878691531926
Raw data,Agglo.,3,parity,0.4548611111111111,0.0,0.0,0.046710878691531926
Raw data,Agglo.,4,birth_weight,0.2769097222222222,0.0011941071130822305,0.0013738461629759565,0.043373994897266815
Raw data,Agglo.,4,iq,0.2907986111111111,-0.0008785899578160117,-0.0004678095044535051,0.043373994897266815
Raw data,Agglo.,4,behaviour,0.2803819444444444,0.002088419784601048,0.0022590379771736183,0.043373994897266815
Raw data,Agglo.,6,cohort,0.2092013888888889,0.00271220798492127,0.0032643192020457832,0.030658419840848446
Raw data,Agglo.,7,age,0.3185763888888889,0.0,0.0,0.0293150131513414
PCA,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.10709830833212747
PCA,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.10709830833212747
PCA,K-Means,3,education,0.5130208333333334,0.0,0.0,0.09158538779606765
PCA,K-Means,3,native,0.8376736111111112,0.0,0.0,0.09158538779606765
PCA,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.09158538779606765
PCA,K-Means,4,birth_weight,0.2769097222222222,-3.314434829142047e-05,-0.00024713508688971,0.08224341104777859
PCA,K-Means,4,iq,0.2925347222222222,-0.0011297821609424009,-0.000639657921816054,0.08224341104777859
PCA,K-Means,4,behaviour,0.2829861111111111,0.0009999701029047702,0.0011665275435393644,0.08224341104777859
PCA,K-Means,6,cohort,0.21875,0.0014127934908700428,0.0006627491293145536,0.07443516874817507
PCA,K-Means,7,age,0.3185763888888889,0.0,0.0,0.07194881723889597
PCA,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.04995001205500641
PCA,GMM,2,sex,0.5303819444444444,0.0,0.0,0.04995001205500641
PCA,GMM,3,education,0.5130208333333334,0.0,0.0,0.009784795484723132
PCA,GMM,3,native,0.8376736111111112,0.0,0.0,0.009784795484723132
PCA,GMM,3,parity,0.4548611111111111,0.0,0.0,0.009784795484723132
PCA,GMM,4,birth_weight,0.2717013888888889,0.0006418597442824552,0.0038107090033895783,0.05503299468064961
PCA,GMM,4,iq,0.2925347222222222,-0.0015195069907737958,0.0015158053644170537,0.05503299468064961
PCA,GMM,4,behaviour,0.2690972222222222,0.00040087715437961993,0.002056395189015614,0.05503299468064961
PCA,GMM,6,cohort,0.21180555555555555,0.0012726986905293007,3.90294825966569e-05,0.03392240166805922
PCA,GMM,7,age,0.3185763888888889,0.0,0.0,0.02571544047221066
PCA,Agglo.,2,asthma,0.8932291666666666,0.0,0.0,0.07480354843485983
PCA,Agglo.,2,sex,0.5303819444444444,0.0,0.0,0.07480354843485983
PCA,Agglo.,3,education,0.5130208333333334,0.0,0.0,0.05797858889072168
PCA,Agglo.,3,native,0.8376736111111112,0.0,0.0,0.05797858889072168
PCA,Agglo.,3,parity,0.4548611111111111,0.0,0.0,0.05797858889072168
PCA,Agglo.,4,birth_weight,0.2760416666666667,-0.00037522130579757126,-0.0006681556887496743,0.050770419034634584
PCA,Agglo.,4,iq,0.2925347222222222,-0.00019795489097641764,-0.0007026796203585361,0.050770419034634584
PCA,Agglo.,4,behaviour,0.2690972222222222,-0.0008621432556749264,-0.001021935249428284,0.050770419034634584
PCA,Agglo.,6,cohort,0.21180555555555555,0.0015562731368001653,0.0009200158639761103,0.03319116582174944
PCA,Agglo.,7,age,0.3185763888888889,0.0,0.0,0.03608658732426113
