rl_method,clust_method,n_clusters,labels
DEC,K-Means,2,[0 0 1 ... 0 1 1]
DEC,K-Means,3,[2 0 1 ... 0 1 1]
DEC,K-Means,4,[3 3 2 ... 3 1 2]
DEC,K-Means,6,[1 1 0 ... 5 3 3]
DEC,K-Means,7,[0 0 1 ... 0 1 5]
VaDE,GMM,2,[1 1 1 ... 1 1 0]
VaDE,GMM,3,[1 2 0 ... 2 0 0]
VaDE,GMM,4,[1 1 3 ... 1 2 3]
VaDE,GMM,6,[2 3 2 ... 0 2 1]
VaDE,GMM,7,[1 1 6 ... 1 2 2]
DEC + DA,K-Means,2,[0 0 1 ... 0 1 1]
DEC + DA,K-Means,3,[2 1 0 ... 1 2 0]
DEC + DA,K-Means,4,[2 2 3 ... 1 2 0]
DEC + DA,K-Means,6,[1 1 4 ... 3 3 5]
DEC + DA,K-Means,7,[2 1 5 ... 1 6 4]
VaDE + DA,GMM,2,[0 0 0 ... 1 0 1]
VaDE + DA,GMM,3,[2 2 0 ... 2 0 0]
VaDE + DA,GMM,4,[3 3 3 ... 1 3 2]
VaDE + DA,GMM,6,[3 2 3 ... 2 1 1]
VaDE + DA,GMM,7,[3 3 6 ... 3 5 0]
