rl_method,clust_method,n_clusters,labels
DEC,K-Means,2,[0 1 1 ... 0 1 1]
DEC,K-Means,3,[1 1 0 ... 1 0 0]
DEC,K-Means,4,[3 0 1 ... 0 3 2]
DEC,K-Means,6,[5 0 3 ... 5 1 1]
DEC,K-Means,7,[2 2 4 ... 2 1 3]
VaDE,GMM,2,[1 0 1 ... 0 0 1]
VaDE,GMM,3,[0 1 0 ... 1 0 2]
VaDE,GMM,4,[0 2 0 ... 2 1 3]
VaDE,GMM,6,[0 5 2 ... 5 4 4]
VaDE,GMM,7,[3 5 0 ... 5 3 3]
DEC + DA,K-Means,2,[1 1 0 ... 1 0 0]
DEC + DA,K-Means,3,[0 0 1 ... 0 2 1]
DEC + DA,K-Means,4,[1 1 0 ... 1 3 0]
DEC + DA,K-Means,6,[3 3 1 ... 3 4 5]
DEC + DA,K-Means,7,[4 2 4 ... 3 3 5]
VaDE + DA,GMM,2,[1 1 0 ... 1 0 0]
VaDE + DA,GMM,3,[1 1 0 ... 2 2 2]
VaDE + DA,GMM,4,[1 0 1 ... 0 2 3]
VaDE + DA,GMM,6,[1 1 2 ... 0 1 4]
VaDE + DA,GMM,7,[4 2 3 ... 0 2 0]
