rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
DEC-conv1D,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.57561004
DEC-conv1D,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.57561004
DEC-conv1D,K-Means,3,education,0.5130208333333334,0.0,0.0,0.47392845
DEC-conv1D,K-Means,3,native,0.8376736111111112,0.0,0.0,0.47392845
DEC-conv1D,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.47392845
DEC-conv1D,K-Means,4,birth_weight,0.2743055555555556,-0.0002089140146644117,-0.00011797066667513808,0.38112
DEC-conv1D,K-Means,4,iq,0.2855902777777778,-0.002149988820173689,-0.0009646441072394349,0.38112
DEC-conv1D,K-Means,4,behaviour,0.2690972222222222,-0.0007329141303273871,-0.0009097156293438425,0.38112
DEC-conv1D,K-Means,4,bmi,0.6944444444444444,0.0,0.0,0.38112
DEC-conv1D,K-Means,6,cohort,0.21354166666666666,0.0020109571333380436,0.000695086416198251,0.30115068
DEC-conv1D,K-Means,7,age,0.3185763888888889,0.0,0.0,0.26357296
VaDE-conv1D,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.35824877
VaDE-conv1D,GMM,2,sex,0.5303819444444444,0.0,0.0,0.35824877
VaDE-conv1D,GMM,3,education,0.5130208333333334,0.0,0.0,0.22242218
VaDE-conv1D,GMM,3,native,0.8376736111111112,0.0,0.0,0.22242218
VaDE-conv1D,GMM,3,parity,0.4548611111111111,0.0,0.0,0.22242218
VaDE-conv1D,GMM,4,birth_weight,0.2960069444444444,0.005025196746364988,0.004745139131642391,0.13735756
VaDE-conv1D,GMM,4,iq,0.2986111111111111,0.0003421340762313665,-0.0004290081579382157,0.13735756
VaDE-conv1D,GMM,4,behaviour,0.2734375,0.0003252451392436142,8.95341241168339e-05,0.13735756
VaDE-conv1D,GMM,4,bmi,0.6944444444444444,0.0,0.0,0.13735756
VaDE-conv1D,GMM,6,cohort,0.21354166666666666,0.0024988774416386805,0.0031589028161360597,0.09443487
VaDE-conv1D,GMM,7,age,0.3185763888888889,0.0,0.0,0.08856147
DEC-conv2D,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.61177844
DEC-conv2D,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.61177844
DEC-conv2D,K-Means,3,education,0.5130208333333334,0.0,0.0,0.45348787
DEC-conv2D,K-Means,3,native,0.8376736111111112,0.0,0.0,0.45348787
DEC-conv2D,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.45348787
DEC-conv2D,K-Means,4,birth_weight,0.2673611111111111,-0.001293618619774677,-0.001368865270218135,0.38721
DEC-conv2D,K-Means,4,iq,0.2925347222222222,0.0010101681142704927,0.0005808580308349675,0.38721
DEC-conv2D,K-Means,4,behaviour,0.2699652777777778,-0.0008492414200045651,-0.0009529561668682644,0.38721
DEC-conv2D,K-Means,4,bmi,0.6944444444444444,0.0,0.0,0.38721
DEC-conv2D,K-Means,6,cohort,0.20399305555555555,-0.00027892095724140137,-9.801969204873899e-05,0.29690355
DEC-conv2D,K-Means,7,age,0.3185763888888889,0.0,0.0,0.32534325
