rl_method,clust_method,n_clusters,variable,Acc,ARI,AMI,Sil
DEC,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.63198894
DEC,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.63198894
DEC,K-Means,3,education,0.5130208333333334,0.0,0.0,0.59932023
DEC,K-Means,3,native,0.8376736111111112,0.0,0.0,0.59932023
DEC,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.59932023
DEC,K-Means,4,birth_weight,0.2664930555555556,-0.0008396224060488539,-0.0011151135770746166,0.5867026
DEC,K-Means,4,iq,0.2951388888888889,0.0012796206977835607,0.0007191070096977807,0.5867026
DEC,K-Means,4,behaviour,0.2734375,-0.0010134103421533041,-0.0013784950005066498,0.5867026
DEC,K-Means,4,bmi,0.6944444444444444,0.0,0.0,0.5867026
DEC,K-Means,6,cohort,0.2092013888888889,6.520518407532879e-05,-0.0005940902461195233,0.31578103
DEC,K-Means,7,age,0.3185763888888889,0.0,0.0,0.24959901
VaDE,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.29452968
VaDE,GMM,2,sex,0.5303819444444444,0.0,0.0,0.29452968
VaDE,GMM,3,education,0.5130208333333334,0.0,0.0,0.18056232
VaDE,GMM,3,native,0.8376736111111112,0.0,0.0,0.18056232
VaDE,GMM,3,parity,0.4548611111111111,0.0,0.0,0.18056232
VaDE,GMM,4,birth_weight,0.2647569444444444,-0.0010029037947554013,-0.0010248544320772147,0.15711638
VaDE,GMM,4,iq,0.3012152777777778,0.0013811281293647055,0.0012954885830437878,0.15711638
VaDE,GMM,4,behaviour,0.2647569444444444,-0.0010174028250707905,-0.0010128362899468062,0.15711638
VaDE,GMM,4,bmi,0.6944444444444444,0.0,0.0,0.15711638
VaDE,GMM,6,cohort,0.2109375,0.000550894114605511,0.0007195593925881773,0.09357061
VaDE,GMM,7,age,0.3185763888888889,0.0,0.0,0.0847011
DEC + DA,K-Means,2,asthma,0.8932291666666666,0.0,0.0,0.8774238
DEC + DA,K-Means,2,sex,0.5303819444444444,0.0,0.0,0.8774238
DEC + DA,K-Means,3,education,0.5130208333333334,0.0,0.0,0.84734166
DEC + DA,K-Means,3,native,0.8376736111111112,0.0,0.0,0.84734166
DEC + DA,K-Means,3,parity,0.4548611111111111,0.0,0.0,0.84734166
DEC + DA,K-Means,4,birth_weight,0.2717013888888889,-0.0008680615475319866,-0.0007879210105509161,0.8353605
DEC + DA,K-Means,4,iq,0.2994791666666667,0.0028962318945761913,0.0009275459141246963,0.8353605
DEC + DA,K-Means,4,behaviour,0.2604166666666667,-0.0013690958012822357,-0.0013930591628717069,0.8353605
DEC + DA,K-Means,4,bmi,0.6944444444444444,0.0,0.0,0.8353605
DEC + DA,K-Means,6,cohort,0.19618055555555555,-0.0013325479605771837,-0.0018617438862150954,0.49996123
DEC + DA,K-Means,7,age,0.3211805555555556,0.0065761849337071165,0.0007636376064526722,0.48470566
VaDE + DA,GMM,2,asthma,0.8932291666666666,0.0,0.0,0.37680298
VaDE + DA,GMM,2,sex,0.5303819444444444,0.0,0.0,0.37680298
VaDE + DA,GMM,3,education,0.5130208333333334,0.0,0.0,0.17779082
VaDE + DA,GMM,3,native,0.8376736111111112,0.0,0.0,0.17779082
VaDE + DA,GMM,3,parity,0.4548611111111111,0.0,0.0,0.17779082
VaDE + DA,GMM,4,birth_weight,0.2725694444444444,-9.674997117532726e-05,1.7903287869707687e-05,0.16206643
VaDE + DA,GMM,4,iq,0.3029513888888889,0.00044447567999385783,0.0027594186209247097,0.16206643
VaDE + DA,GMM,4,behaviour,0.28125,0.0009333622414170046,0.0008869684003253027,0.16206643
VaDE + DA,GMM,4,bmi,0.6944444444444444,0.0,0.0,0.16206643
VaDE + DA,GMM,6,cohort,0.1987847222222222,0.0007618864798963225,0.00034397229267175614,0.119813494
VaDE + DA,GMM,7,age,0.3185763888888889,0.0,0.0,0.10884287
