rl_method,clust_method,n_clusters,variable,same_clust,Acc,ARI,AMI,Sil
Raw data,K-Means,2,gender,0.4741637831603216,0.5480392156862746,0.0,0.0,0.25473950164597237
Raw data,K-Means,3,cv_risk,0.20654844290657448,0.3588235294117647,0.0011384769178094968,0.00044485201793966644,0.093051418302661
Raw data,GMM,2,gender,0.32680123029604013,0.5480392156862746,0.0,0.0,0.174318801200845
Raw data,GMM,3,cv_risk,0.16749038831218793,0.3558823529411765,0.0010041110881527163,-8.671481185147605e-06,0.09576253875089476
Raw data,Agglo.,2,gender,0.46268742791233974,0.5480392156862746,0.0,0.0,0.235474138897836
Raw data,Agglo.,3,cv_risk,0.17777970011534092,0.3558823529411765,-0.000525953428584555,0.00022570887455154297,0.10531873979664537
PCA,K-Means,2,gender,0.4744444444444446,0.5480392156862746,0.0,0.0,0.29353563680232864
PCA,K-Means,3,cv_risk,0.20103998462129904,0.3607843137254902,0.0009270648698678123,0.0003182026502377945,0.12037448385335381
PCA,GMM,2,gender,0.24453287197231777,0.5519607843137255,0.009764448102192328,0.008764218449473124,0.14135545925908186
PCA,GMM,3,cv_risk,0.12342272202998868,0.3715686274509804,0.0017962686078427767,0.002409930304757809,0.021993903160584492
PCA,Agglo.,2,gender,0.7483852364475213,0.5480392156862746,0.0,0.0,0.3781854836295144
PCA,Agglo.,3,cv_risk,0.23604190695886287,0.35294117647058826,0.0005504648309443928,-4.393046559995094e-06,0.0979213575566995
FeatSel + PCA,K-Means,2,gender,0.47669934640522893,0.5480392156862746,0.0,0.0,0.3199419218643596
FeatSel + PCA,K-Means,3,cv_risk,0.2035822760476746,0.3558823529411765,0.0005651242250120259,9.017754408367213e-06,0.144539516194836
FeatSel + PCA,GMM,2,gender,0.25095155709342537,0.5549019607843138,0.010918565455974888,0.010913607983876382,0.16264732166615664
FeatSel + PCA,GMM,3,cv_risk,0.13514033064206096,0.3568627450980392,0.000893427586370769,9.534625455890633e-05,0.020974237300303136
FeatSel + PCA,Agglo.,2,gender,0.40573241061130416,0.5480392156862746,0.0,0.0,0.2752267688822317
FeatSel + PCA,Agglo.,3,cv_risk,0.39311707035755616,0.35980392156862745,-8.416438884887164e-05,0.0010704335105198221,0.22399756028723913
