"","Class","Class_2"
"metab_1","biogenicamines","LC"
"metab_2","biogenicamines","LC"
"metab_3","aminoacids","LC"
"metab_4","biogenicamines","LC"
"metab_5","aminoacids","LC"
"metab_6","aminoacids","LC"
"metab_7","aminoacids","LC"
"metab_8","acylcarnitines","FIA"
"metab_9","acylcarnitines","FIA"
"metab_10","acylcarnitines","FIA"
"metab_11","acylcarnitines","FIA"
"metab_12","acylcarnitines","FIA"
"metab_13","acylcarnitines","FIA"
"metab_14","acylcarnitines","FIA"
"metab_15","acylcarnitines","FIA"
"metab_16","acylcarnitines","FIA"
"metab_17","acylcarnitines","FIA"
"metab_18","acylcarnitines","FIA"
"metab_19","acylcarnitines","FIA"
"metab_20","acylcarnitines","FIA"
"metab_21","acylcarnitines","FIA"
"metab_22","acylcarnitines","FIA"
"metab_23","acylcarnitines","FIA"
"metab_24","acylcarnitines","FIA"
"metab_25","acylcarnitines","FIA"
"metab_26","acylcarnitines","FIA"
"metab_27","acylcarnitines","FIA"
"metab_28","acylcarnitines","FIA"
"metab_29","acylcarnitines","FIA"
"metab_30","acylcarnitines","FIA"
"metab_31","acylcarnitines","FIA"
"metab_32","acylcarnitines","FIA"
"metab_33","acylcarnitines","FIA"
"metab_34","acylcarnitines","FIA"
"metab_35","acylcarnitines","FIA"
"metab_36","acylcarnitines","FIA"
"metab_37","acylcarnitines","FIA"
"metab_38","acylcarnitines","FIA"
"metab_39","acylcarnitines","FIA"
"metab_40","acylcarnitines","FIA"
"metab_41","acylcarnitines","FIA"
"metab_42","acylcarnitines","FIA"
"metab_43","acylcarnitines","FIA"
"metab_44","acylcarnitines","FIA"
"metab_45","acylcarnitines","FIA"
"metab_46","aminoacids","LC"
"metab_47","biogenicamines","LC"
"metab_48","aminoacids","LC"
"metab_49","aminoacids","LC"
"metab_50","aminoacids","LC"
"metab_51","sugars","FIA"
"metab_52","aminoacids","LC"
"metab_53","aminoacids","LC"
"metab_54","biogenicamines","LC"
"metab_55","aminoacids","LC"
"metab_56","aminoacids","LC"
"metab_57","glycerophospholipids","FIA"
"metab_58","glycerophospholipids","FIA"
"metab_59","glycerophospholipids","FIA"
"metab_60","glycerophospholipids","FIA"
"metab_61","glycerophospholipids","FIA"
"metab_62","glycerophospholipids","FIA"
"metab_63","glycerophospholipids","FIA"
"metab_64","glycerophospholipids","FIA"
